ID;txt
987-P8_1;por cuenta de ahorro propia
995-P8_1;porque tengo la nomina del trabajo ahi
1002-P8_1;por mi trabajo me lo pidieron
1003-P8_1;porque ahi tengo mi nomina de paga
1032-P8_1;por las promociones meses sin intereses y anualidades gratis
1060-P8_1;por la nomina
1061-P8_1;no me dieron otra opcion
1062-P8_1;las aplicaciones son muy manejables y amigables
1069-P8_1;porque es mas accesible no te cobran por las tarjetas de debito
1083-P8_1;por empleo
1084-P8_1;porque me lo pidieron en el trabajo
1086-P8_1;para recibir dinero
1088-P8_1;por accesibilidad que donde yo vivo es mas accesible tener tarjeta de citibanamex
1100-P8_1;cuenta de nomina
1113-P8_1;por facilidad porque hay una sucursal cerca de mi casa
1118-P8_1;nomina
1134-P8_1;por nomina
1160-P8_1;porque tiene sucursales en todos lados
1168-P8_1;las aplicaciones y que es facil de transferir o sea me he acomodado bien
1185-P8_1;porque me parecio buen banco
1248-P8_1;por la afluencia de cajeros automatico y sucursal cercana al domicilio
1249-P8_1;porque ahi tengo mi nomina actual
1257-P8_1;es facil su sistema
1259-P8_1;tengo tarjeta de nomina y credito me he acomodado con ellos me parece que tienen buena disposicion de cajeros y atencion
1295-P8_1;por el ahorro para tener si llega a tener un problema tener un fondo de ahorro me dijeron que era confiable
1299-P8_1;por la nomina
1308-P8_1;la pension
1338-P8_1;por el seguro me ofrecieron un paquete de seguro
1341-P8_1;porque ellos me ofrecieron la tdc primero
1358-P8_1;por cubre todas las zonas de la republica encuentra bancos y cajeros
1384-P8_1;lo que pasa que le gustaba el trato canalizan de manera concreta que tramite vas a realizar en sucursal basicamente te dicen a donde ir con el tramite
1389-P8_1;por lo facil que es pagar todo con tarjeta
1398-P8_1;hay muchas sucursales cercanas
1400-P8_1;su servicio
1406-P8_1;por el trabajo para que me pagaran por nomina
1437-P8_1;porque me pagan ahi la nomina
1440-P8_1;por mi trabajo es donde me pagan la nomina
1460-P8_1;por la costumbre nunca he querido cambiar de cuenta ni de banco y ya me quede ahi me ha parecido bien el servicio
1473-P8_1;me queda muy cerca la sucursal
1492-P8_1;nomina
1504-P8_1;deposito que le dan
1514-P8_1;para sacar un credito
1538-P8_1;tiene mejores opciones hay mas bancos y sus cajeros siempre sirven y cada que voy a asesorarme me dan las respuestas y me ayudan a quitarme cualquier duda y problemas
1550-P8_1;me funciona bien me llegan bien los estados de credito
1586-P8_1;se me hace muchisimo mas comodo su modalidad de los cajeros para retiros se me hace mas facil al momento de retirar dinero su plataforma es mas sencilla de utilizar simplemente fue por familiares
1615-P8_1;por nomina de la empresa
1622-P8_1;saque una cuenta de ahorro para realizar pagos y trasferencias de mi negocio
1625-P8_1;porque fue con la que tuve mayor facilidad para obtener la tarjeta de debito
1627-P8_1;porque es mejor que bancomer
1637-P8_1;porque la empresa se lo impuso
1645-P8_1;siempre ha sido con la que tengo la mayor atencion porque cualquier pregunta o duda te la resuelven al instante por algun mal manejo te pasan directamente con un gerente o asesor
1683-P8_1;por los de mi pequeno negocio y de mi trabajo de nomina cobros que hago transferencias
1687-P8_1;pues fue el primer banco que se le hizo bien
1714-P8_1;abri mi cuenta de ahorro para el comercio
1758-P8_1;deposito de mi dinero
1764-P8_1;no me ha dado ningun problema no tengo errores en mis cuentas no tengo cobros inesperados siempre tengo claros mis estados de cuenta
1791-P8_1;es el banco donde tengo mas sucursales cercanas
1792-P8_1;porque encuentras cajeros por donde quiera y la atencion es buena
1806-P8_1;por la abundancia de sucursales y de cajeros
1817-P8_1;porque ocupaba una tarjeta de nomina
1827-P8_1;por la nomina
1835-P8_1;por la comodidad hay muchos en toda la ciudad en provincias encuentro muchas sucursales
1845-P8_1;porque no ha tenido problemas con el
1852-P8_1;las preventas su app nunca falla transferencias muy rapidas
1888-P8_1;porque la verdad me quedaba cerca de donde vivia
1894-P8_1;porque estan seguros mis ahorros y la tasa de interes seguro sus ahorros porque no hay fraudes esta bien
1918-P8_1;porque antes me depositaba ahi mi quincena
1921-P8_1;porque me ofrecio una taza de interes mas baja para credito hipotecario
1938-P8_1;es mas alta la tasa de interes al momento de depositar mi dinero en mis inversiones
1940-P8_1;lo encuentras en cualquier lugar hay cajeros automaticos en cualquier lado
1945-P8_1;me ofrecieron una tarjeta de meses sin intereses
1947-P8_1;por un retiro de afore
1950-P8_1;tarjetas
1967-P8_1;ahi tengo mi cuenta de nomina
1986-P8_1;por tramite de cambio de cheques
1992-P8_1;la tarjeta de credito
1995-P8_1;por la nomina porque es la que tiene la empresa
2013-P8_1;nsnr
2028-P8_1;porque es una empresa que esta muy asegurado y es mas rapido
2033-P8_1;por promociones de tarjetas bancarias
2086-P8_1;es un banco mas reconocido mas sucursales y mas cajeros
2087-P8_1;nomina
2105-P8_1;por el tiempo que era el mejor banco desde que lo conoci en inversion no son tan transas porque cobra menos intereses
2106-P8_1;compra de boletos facilidades de ticketmaster preventas
2125-P8_1;porque tiene mas cajeros donde quiera hay un cajero
2148-P8_1;me queda cerca de mi domicilio y de mi empleo
2154-P8_1;tarjeta credito y su beneficio tasa baja de interes y mensualidad baja y el monto de 20000
2159-P8_1;por los servicios que ofrece
2163-P8_1;por mi trabajo ahi me pagan
2170-P8_1;por la nomina de la empresa en la que estaba
2178-P8_1;porque luego hacen promociones de boletos de conciertos y dan facilidad de pago a meses sin intereses
2185-P8_1;porque el trabajo me lo pidio
2193-P8_1;por su tasa de interes en las tarjetas de credito
2199-P8_1;por tarjeta de credito
2216-P8_1;porque ahi me ofrecieron una tarjeta de credito
2220-P8_1;porque me lo pedian en el trabajo por el confinamiento y pago de salario
2224-P8_1;porque abri una cuenta de ahorro
2263-P8_1;su servicio me da flexibilidad rapidez atienden mis necesidades con prontitud aclaraciones e inversiones renovaciones de mis productos la que mas uso es la de debito y credito
2299-P8_1;porque esta en todas las ciudades y hay cajeros y bancos en todas partes
2300-P8_1;por ahora manejo cuenta de ahorro
2317-P8_1;por la nomina el pago a traves de la tarjeta del salario me lo asignaron
2336-P8_1;por promociones preventa para conciertos o eventos
2344-P8_1;no cobra comisiones altas por manejo de cuenta
2345-P8_1;en mi trabajo es el que mas tiene nos pagan en nomina
2356-P8_1;por la variedad de servicio servicio de tarjeta de credito seguro de auto inversiones
2385-P8_1;la costumbre cuando uno domicilia los pagos
2423-P8_1;para que me depositen lo de la pension
2453-P8_1;por el trabajo
2454-P8_1;es mi tarjeta de nomina
2458-P8_1;por nomina
2471-P8_1;por una cuenta de debito
2517-P8_1;porque me la dieron directamente de la empresa
2540-P8_1;por mi nomina
2572-P8_1;pues tengo una cuenta de ahorros
2574-P8_1;por la atencion el tipo de cuenta que he manejado me ha cumplido con mis necesidades y me han dado solucion y numero de sucursal
2609-P8_1;porque esta su nomina
2610-P8_1;siempre me ha parecido buen servicio buena atencion a clientes
2611-P8_1;beneficios que tiene los meses sin interes las preventas para eventos entre otros
2613-P8_1;la confiabilidad que ofrece podria ser el manejo de los datos personales que es confidencial y se siente segura en las sucursales cuando esta en alguna de ellas
2672-P8_1;me llamo la atencion tener una tarjeta ahi me convencieron sus promociones habia una de seguro de vida
2685-P8_1;porque era mi cuenta de nomina para que me pagara la empresa
2702-P8_1;porque han sido muy confiables y hasta ahorita siempre la he tenido no me cobra anualidad
2714-P8_1;accesibilidad numero de sucursales en la ciudad
2717-P8_1;accesibilidad que tengo en la banca para hacer transacciones que normalmente hago
2723-P8_1;porque nunca me han descontado su sueldo como en otros bancos como bancomer
2727-P8_1;me queda mas cerca de mi domicilio
2751-P8_1;para tener mas historial crediticio
2752-P8_1;la seguridad y el limite de credito
2753-P8_1;por mi trabajo forma en la que me pagan
2758-P8_1;por la nomina
2781-P8_1;me desarrollo mas usando la aplicacion por eso me gusta o sea me adapto mas a la aplicacion que trae banamex que las otras aplicaciones de los otros bancos es muy accesible
2784-P8_1;la empresa es la que me dio la tarjeta pues yo no la escogi fue la empresa
2792-P8_1;por comprar un seguro de vida
2793-P8_1;porque no me quitan dinero
2828-P8_1;porque se lo recomendaron
2840-P8_1;por el credito la tarjeta de credito
2873-P8_1;por practico fue el que tenia mas cercano para poder abrir mi tarjeta de nomina
2877-P8_1;porque me quedaba cerca la sucursal estaba cerca de mi casa
2894-P8_1;por la atencion es rapida todos los empleados son amables y eficientes
2898-P8_1;porque es un banco que encuentro donde sea
2900-P8_1;comodidad la cercania de sus bancos
2909-P8_1;nomina
2915-P8_1;ya tengo mucho tiempo con ese banco es donde hay mas cajeros disponibles cerca de mi domicilio no tienes que ir a tomar la combi a buscar uno
2930-P8_1;su bajo interes del credito que otorga el de prestamos particulares
2948-P8_1;ahorro fondo de retiro
2952-P8_1;para que le paguen su nomina tarjeta de nomina
2973-P8_1;porque necesitaba una tarjeta de debito
3034-P8_1;porque ahi me pagan la nomina
3043-P8_1;por cuenta nomina
3052-P8_1;me gusta se me hace facil a la hora de retirar
3056-P8_1;por la afore
3072-P8_1;por cuenta de ahorro
3081-P8_1;cuenta de ahorro
3106-P8_1;por el beneficio de los meses sin intereses compro sin que me cobren intereses
3108-P8_1;por las promociones que dan como compra de boletos de conciertos
3112-P8_1;por la nomina
3113-P8_1;por el trabajo ahi nos depositan
3115-P8_1;porque ocupaba una cuenta de depositos para hacer depositos
3121-P8_1;movi todos mis servicios con banamex
3141-P8_1;por la accesibilidad para tramites de nomina y credito personal
3142-P8_1;nomina
3160-P8_1;me interesa el seguro genera mas
3183-P8_1;ahi me depositan mi sueldo mi empresa en el banco en una tarjeta de debito
3185-P8_1;por la facilidad de manejo de cuenta el dinero que me daban era por parte de un afore de mi papa
3191-P8_1;atencion en la aplicacion movil es accesible facil de manejarse y entender pagos de comida y transferencia
3197-P8_1;pues para la facilidad que tuve para sacar la inversion del negocio que tiene
3207-P8_1;tengo mi afore ahi
3218-P8_1;porque ahi tengo nomina y tarjeta de credito
3221-P8_1;por un motivo personal porque apertura una cuenta de credito para un dinero
3248-P8_1;tiene muchos cajeros te dan buena atencion
3258-P8_1;porque me reportaron mi convenio de nomina no me piden monto o compras minimos me respetaron los convenios
3282-P8_1;porque ahi me pagan mi nomina
3286-P8_1;porque contrataste una tarjeta de credito
3290-P8_1;ahi me pagan
3293-P8_1;el banco que me llamo la atencion en el servicio de la aplicacion y esta mas seguro en el aspecto del dinero
3294-P8_1;porque ahi me pagan
3331-P8_1;caja de ahorro
3345-P8_1;por la nomina
3348-P8_1;porque puedes hacer retiros en efectivo mas rapido me queda mas cerca
3359-P8_1;porque le ha gustado nunca ha tenido problemas
3378-P8_1;para la obtencion de tarjetas de credito
3409-P8_1;siempre me ha gustado la atencion que le dan me resuelven rapido alguna duda los ejecutivos que siempre estan disponibles en el momento que acudo al banco aunque son pocas las veces que he tenido que recurrir a esos
3418-P8_1;porque me gusta mas estar en banamex me da mas confianza estar en banamex
3422-P8_1;la empresa lo eligio yo no lo elegi
3427-P8_1;termino mi nomina y despues segui con otros productos como cuenta de cheques
3428-P8_1;me llego una promocion de tarjeta de credito y la acepte
3429-P8_1;antiguedad al tiempo que llevo con ellos y los servicios que presentan ellos
3433-P8_1;porque es confiable y me ha ido bien ahi no he tenido ningun problema desde que estoy con el con mi dinero con la tarjeta y sacar dinero
3439-P8_1;confiables no me han cobrado mas de lo que no debo me han dado redito y la atencion al cliente es mas rapido
3442-P8_1;siempre encuentro un cajero disponible
3452-P8_1;porque fue el primer banco que me otorgo tarjeta de credito y por el manejo de las comisiones
3453-P8_1;porque no me cobra anualidad
3472-P8_1;nunca he tenido problemas con ellos me parece confiable que nunca he tenido problema con ellos siempre me ayudan a resolver algun problema que tenga en mi cuenta
3476-P8_1;cuenta de ahorro
3477-P8_1;cuenta de ahorro
3478-P8_1;cuenta de ahorro
3484-P8_1;porque es donde he tenido apertura a creditos y por costumbre
3500-P8_1;porque tiene buenas ofertas como descuentos en las tiendas de ropa 6 meses sin intereses con la de debito
3504-P8_1;porque no me cobran mucha comision cuando retiras no te cobran tanto o cuando haces transferencias no te cobran
3510-P8_1;porque hay muchas sucursales en todas partes como autoservicio y avenidas cerca de mi casa
3515-P8_1;por la promociones exclusivas y beneficios adicionales
3518-P8_1;la atencion son eficientes en tarjeta de debito
3520-P8_1;por nomina directa de la empresa
3580-P8_1;porque tengo con ellos mi cuenta de debito
3582-P8_1;porque me gusta sus servicios y lo que seguro que es ofrecen seguros de vida y tarjeta de credito
3597-P8_1;por la manera de como me tratan y los creditos que me proporcionan
3612-P8_1;tiene buenas promociones de meses en tiendas departamentales
3620-P8_1;nunca he cancelado la cuenta nunca me di de baja
3640-P8_1;cuentas de debito
3643-P8_1;porque ofrece buenos productos tarjetas de credito sin anualidad inversiones con buen rendimiento
3675-P8_1;por la facilidad que tuve de una tarjeta a traves de oxxo
3717-P8_1;las promociones de las tiendas la app la facilidad de los cajeros y cajeros inteligentes
3725-P8_1;por su atencion de las personas y su tencion del personal
3726-P8_1;me gusta su atencion su bajo porcentaje por tener tarjeta de credito
3806-P8_1;no tengo problemas con mi cuenta mi cuenta de nomina no me cobra comision de anualidad
3838-P8_1;tengo un credito de una casa y lo enganche a una cuenta de ahorro de ahi
3840-P8_1;costumbre de ahorrar dinero
3841-P8_1;guardo dinero del negocio
3843-P8_1;por la costumbre
3871-P8_1;por la facilidad de algunos servicios que me han ofrecido asi como la cercania de la sucursal
3873-P8_1;para tener una cuenta de ahorro
3899-P8_1;porque ahi me depositan la nomina
3901-P8_1;por que tambien ahi me pagan
3903-P8_1;nomina
3915-P8_1;por tener una cuenta de ahorro
3928-P8_1;sus beneficios meses sin intereses
3934-P8_1;porque encuentro muchos bancos cerca de mi trabajo hay uno y cerca de mi hay otro cerca para hacer operaciones
3963-P8_1;por la necesidad de que me hicieran un deposito
3979-P8_1;por nomina
3985-P8_1;porque ha coincidido con los trabajos es el banco que asignan como nomina
4004-P8_1;por mi nomina
4009-P8_1;por la nomina
4017-P8_1;por la pension
4023-P8_1;porque dan buen servicio en general nunca he tenido algun problema con ellos
4037-P8_1;porque tenia el pago a la mano es el que tenia mas cerquita
4047-P8_1;por la confianza a la institucion
4079-P8_1;porque me pagan ahi mi nomina porque se me hace mas facil pasar ahi a retirar
4081-P8_1;porque me depositan mi pension de mis hijos es la unica opcion que me dieron
4097-P8_1;por los beneficios que ofrece
4101-P8_1;porque abundan los cajeros hay muchos disponibles
4106-P8_1;ahi me pagan
4134-P8_1;me brinda buenos productos tarjeta de nomina planes crediticios
4153-P8_1;por los planes que ofrece el sistema de credito el sistema de inversion accesibilidad
4169-P8_1;porque esa tarjeta te la dan aun que no tenga un historial
4173-P8_1;tienen buen nivel de apoyo a los clientes en alguna ocasion se me perdio mi tarjeta de banco y marque y en minutos me proporcionaron toda la informacion que necesitaba
4181-P8_1;por que tambien lo utilice para que me pagaran en una empresa
4194-P8_1;porque ahi le pagan
4223-P8_1;porque ahi me depositan mi nomina
4237-P8_1;la pension mensual
4238-P8_1;por la afore
4239-P8_1;por la nomina
4247-P8_1;porque las prestaciones y la tasa de interes que tiene en las tarjetas de credito
4249-P8_1;porque abri una cuenta de ahorro
4255-P8_1;la cercania
4256-P8_1;la nomina
4271-P8_1;porque ahi esta mi afore
4282-P8_1;la atencion pues siempre que hablo para alguna aclaracion o algo me resuelven al numero de banamex
4285-P8_1;porque iba a viajar al extranjero y necesitaba una tarjeta con un poco mas de historial crediticio y fue mi primera tarjeta de credito
4286-P8_1;por cuentas de ahorro
4288-P8_1;porque para los prestamos no te piden tantos requisitos prestamo personal
4293-P8_1;porque me pidieron tarjeta de nomina
4298-P8_1;tarjeta de credito
4299-P8_1;por cercania a su trabajo habia una sucursal cerca
4341-P8_1;por la confianza que nos ha dado la institucion a la seguridad que nos han tratado el ejecutivo esta al pendiente de nosotros y hay esa lealtad de ellos a nosotros y viceversa cuando es mi cumpleanos me hablan para felicitarme o para saber si me ha llegado el estado de cuenta
4369-P8_1;porque mi tarjeta de nomina es banamex
4370-P8_1;solo por emergencia me ofrecieron ese
4378-P8_1;las promociones bancarias en la tarjeta de credito bonificaciones en compra a meses
4391-P8_1;por el trabajo me pagan mi nomina
4397-P8_1;por nomina tuve que abrir la nomina ahi era un convenio que tenia con la empresa de ese entonces por eso elegi citibanamex
4415-P8_1;tiene mejor tasa de interes en tarjeta de debito y credito
4424-P8_1;para sacar un seguro de autos
4451-P8_1;por las promociones que da
4462-P8_1;porque segui con historial crediticio
4464-P8_1;por las tarjetas de credito
4470-P8_1;con eso inicio abri una cuenta de ahorros
4475-P8_1;por la necesidad porque esta cerca de donde trabajo
4479-P8_1;porque necesita que me depositan cuentas mas grandes
4481-P8_1;por trabajo ahi me sacaron mi nomina
4492-P8_1;porque me facilita sacar de los cajeros automaticos porque puedo mas dinero en los cajeros porque siempre hay dinero en los cajeros
4495-P8_1;para que me depositen mi sueldo
4537-P8_1;porque me ofrecieron la tarjeta de credito
4549-P8_1;tuve que abrir una cuenta de nomina en banamex
4585-P8_1;me ha resultado buen banco que nunca he tenido problemas
4593-P8_1;porque es facil encontrar cajeros y me gusta la atencion cuando acudo a la sucursal de los cajeros y de la persona que te recibe
4623-P8_1;porque me da mas rendimiento y tiene muchas sucursales
4633-P8_1;era el unico que me facilitaba una cuenta siendo menor de edad
4643-P8_1;por la facilidad me queda mas cerca de mi casa mas que el ahorro
4652-P8_1;para ahorrar dinero
4714-P8_1;hay mas bancos cerca de la zona donde trabajo
4719-P8_1;por su tasa de rendimiento es la que mas porcentaje en el afore me da
4729-P8_1;porque es mi nomina
4752-P8_1;esta cerca de mi domicilio
4758-P8_1;por las caracteristicas de sus tarjetas de debito no tiene comisiones
4773-P8_1;cambiaron mi nomina
4786-P8_1;porque me la dieron en mi trabajo la tarjeta
4790-P8_1;me gusta que hay muchas sucursales
4798-P8_1;por costumbre porque siempre he tenido ahi mis cuentas
4817-P8_1;porque no he tenido ningun problema que no he tenido que me clonen la tarjeta
4834-P8_1;porque ahi me depositan la nomina
4836-P8_1;porque hay mas sucursales
4853-P8_1;porque adquiri un credito hipotecario en ese momento es el que me daba mejores opciones en intereses
4864-P8_1;por una empresa que me meti y por que el dinero que me mandaban los familiares
4898-P8_1;la cercania de la sucursal a mi domicilio
4916-P8_1;para manejar mis ingresos porque me depositan mi nomina
4919-P8_1;por la nomina porque es la que maneja la empresa
4922-P8_1;por tarjeta de credito
4931-P8_1;porque siempre he tenido la tarjeta de debito por pension que mi papa deposito y como es una cuenta no necesito tener saldo
4939-P8_1;por recibia mi nomina
4944-P8_1;por mi cuenta de nomina ese banco me refirio los de donde me tramitaron la tarjeta
4976-P8_1;por la nomina
4983-P8_1;porque ahi manejo mi cuenta para pagarle a mis empleados
4985-P8_1;por motivos laborales
4988-P8_1;la atencion es buena me resuelven mis dudas
5017-P8_1;me gusta el esquema bancario y la tasa de interes
5019-P8_1;no he tenido ningun problema con ellos ellos me hacen sus prestamos yo hago mis pagos y no hay porque tener un problema
5032-P8_1;cuenta de ahorro
5034-P8_1;por el trabajo de debito
5038-P8_1;nomina
5056-P8_1;por mi nomina que se la depositan ahi
5063-P8_1;para las preventas de conciertos porque sacan la preventa dos tres dias antes
5065-P8_1;porque me da mi pension en el banco
5068-P8_1;para reinvertir mi dinero mis ganancias invertirlas y me dan una taza de interes para que me den un 4 por ciento arriba de todo lo que tengo
5078-P8_1;por el trabajo es la cuenta que maneja el trabajo
5086-P8_1;porque me queda cerca
5091-P8_1;por recomendaciones de familia
5092-P8_1;por mi afore
5121-P8_1;por mi afore
5131-P8_1;me facilita hacer pagos y ahorrar
5140-P8_1;por mi tarjeta de credito el mayor credito que tengo lo tengo en citibanamex por beneficios que me da la tarjeta de bsmart preventas en conciertos
5149-P8_1;para que ahi me paguen mi nomina
5204-P8_1;me da dias para pagar la tarjeta despues de su vencimiento
5205-P8_1;la empresa paga en ese banco
5207-P8_1;es un buen banco ofrecen buenas prestaciones
5208-P8_1;por el pago de nomina
5226-P8_1;es el primer banco que conoci
5230-P8_1;por la nomina
5253-P8_1;porque no me cobran comision por uso de tarjeta de debito
5267-P8_1;porque fue mi unica opcion en cuanto a cercania era el banco que tenia mas cerca
5274-P8_1;por la comodidad de los servicios de banca movil
5277-P8_1;por necesidad para sacar una cuenta de cheques para el trabajo
5291-P8_1;porque le da mucha confianza tiene mas prestigio es un banco que es nacional mexicano
5299-P8_1;sus servicios cuando tengo algun problema son muy efectivos en las aclaraciones a la hora de presentar un problema o una duda por medio del call center o yendo directo al banco
5305-P8_1;abri unas inversiones con ellos cuestiones laborales
5339-P8_1;depositos de empleador
5340-P8_1;mi cuenta de nomina y mis seguros
5357-P8_1;porque me pagan mi nomina
5358-P8_1;por un guardado ahi guardo el dinero ahi siento que esta mas protegido prefiero tenerlo ahi que en un banco
5368-P8_1;porque tiene mucha presencia en cuanto a sucursales
5393-P8_1;se lo recomendaron en su momento que era un buen banco seguro
5397-P8_1;cuando tengo que ir a ventanilla es muy rapido
5421-P8_1;cuando saco dinero la comision no es alta es baja
5474-P8_1;es mas facil hacer transacciones a otros bancos no he tenido inconveniente al hacerlo
5476-P8_1;algo diferente en servicio servicio al cliente es mejor
5497-P8_1;son mejores en el servicio al cliente
5512-P8_1;por su tarjeta de credito y su tarjeta de nomina
5539-P8_1;por accesibilidad en las sucursales y en cajeros cerca de mi casa
5540-P8_1;por el servicio que nos da el banco y porque es aceptada la tarjeta de debito en cualquier lado como tiendas departamentales
5563-P8_1;era el que estaba mas cerca de mi trabajo
5572-P8_1;cuenta de prestamo
5574-P8_1;cuenta de ahorro
5595-P8_1;no hay mucha gente es rapido
5633-P8_1;porque ya tengo un historial crediticio ahi
5642-P8_1;porque esta ahi mi nomina por ahi me pagan
5645-P8_1;porque hay mas donde me muevo hay mas bancos
5651-P8_1;por comodidad porque es el unico que he usado siempre
5657-P8_1;porque te dan la tarjeta muy rapido te la entregan el mismo dia
5662-P8_1;porque ahi me pagan la nomina
5670-P8_1;porque donde puedo ahorrar facil y me siento seguro es confiable
5681-P8_1;porque tiene muchas sucursales porque me gusta disponer de cajeros de bancos cerca de donde estoy
5701-P8_1;por deposito de nomina
5702-P8_1;por tradicion ya que siempre he tenido cuentas ahi
5704-P8_1;porque manejo mucho las ventas manejo de dinero y depositos
5707-P8_1;me gusta la agilidad de sus servicios
5716-P8_1;me tratan bien cuando voy me asesoran bien de la afore todo eso
5721-P8_1;por el trabajo esta afiliado a ese banco
5725-P8_1;me ofrecieron la tarjeta de credito y decidi aceptarla
5733-P8_1;nomina se me paga
5757-P8_1;porque no me cobra anualidad en la cuenta de credito
5763-P8_1;porque ahi me depositan mi dinero
5771-P8_1;ahi primero tuve una cuenta de ahorro y ahi te depositan la nomina
5775-P8_1;porque la empresa trabajaba con ese banco
5824-P8_1;porque ocupaba abrir una cuenta porque la que tenia se me habia vencido
5836-P8_1;por mi tarjeta me ofrecieron la tarjeta de credito oro solo por tener un producto con ellos en el banco
5839-P8_1;me gusta mucho su app
5845-P8_1;por movimiento bancarios
5846-P8_1;por la tarjeta de credito
5848-P8_1;donde quiera encuentro bancos cuando viajo hay sucursales en todos lados hasta en el aeropuerto el aifa
5854-P8_1;porque es practico y facil de utilizar en sus plataformas y la banca electronica no necesito tomar un curso si me atoro
5857-P8_1;porque me ahi me depositan mi nomina
5886-P8_1;fue herencia de mi papa
5887-P8_1;la verdad porque mi trabajo requiere de una cuenta y banamex se acopla a mis necesidades es el mas viable
5889-P8_1;todas mis cuentas estan concentradas en ese banco tanto personales como laborales y los beneficios que me ofrece actualmente soy cliente cliente priority
5895-P8_1;por el horario de apertura de sucursales
5896-P8_1;hay mas sucursales los cajeros automaticos son mas rapidos
5898-P8_1;porque hay mas sucursales disponibles y los cajeros hay mucha disponibilidad no batalla al encontrarlos
5901-P8_1;tiene buenos productos tarjetas de credito porque siempre tiene promociones para boletos de conciertos
5913-P8_1;por mi nomina
5945-P8_1;por su atencion era muy completa y rapida la atencion en sucursales
5946-P8_1;por comodidad muchos cajeros y sucursales
